date,symbol,rate
2023-01-20,HUF,395.88
2023-01-20,IDR,16368.0
2023-01-20,ILS,3.6839
2023-01-20,INR,87.82
2023-01-20,ISK,154.3
2023-01-20,JPY,140.86
2023-01-20,KRW,1336.47
2023-01-20,MXN,20.486
2023-01-20,MYR,4.6395
2023-01-20,NOK,10.7135
2023-01-20,NZD,1.6852
2023-01-20,PHP,58.958
2023-01-20,PLN,4.71
2023-01-20,RON,4.9258
2023-01-20,SEK,11.1655
2023-01-20,SGD,1.4311
2023-01-20,THB,35.455
2023-01-20,TRY,20.357
2023-01-20,USD,1.0826
2023-01-20,ZAR,18.577
2023-01-23,AUD,1.5529
2023-01-23,BGN,1.9558
2023-01-23,BRL,5.6372
2023-01-23,CAD,1.4523
2023-01-23,CHF,1.0013
2023-01-23,CNY,7.373
2023-01-23,CZK,23.881
2023-01-23,DKK,7.4393
2023-01-23,GBP,0.8797
2023-01-23,HKD,8.5105
2023-01-23,HUF,395.98
2023-01-23,IDR,16314.0
2023-01-23,ILS,3.6709
2023-01-23,INR,88.45
2023-01-23,ISK,154.7
2023-01-23,JPY,141.65
2023-01-23,KRW,1335.67
2023-01-23,MXN,20.443
2023-01-23,MYR,4.6588
2023-01-23,NOK,10.6835
2023-01-23,NZD,1.6778
2023-01-23,PHP,59.345
2023-01-23,PLN,4.7113
2023-01-23,RON,4.9202
2023-01-23,SEK,11.1183
2023-01-23,SGD,1.4328
2023-01-23,THB,35.63
2023-01-23,TRY,20.448
2023-01-23,USD,1.0871
2023-01-23,ZAR,18.6597
2023-01-24,AUD,1.547
2023-01-24,BGN,1.9558
2023-01-24,BRL,5.6164
2023-01-24,CAD,1.4517
2023-01-24,CHF,1.0053
2023-01-24,CNY,7.3642
2023-01-24,CZK,23.874
2023-01-24,DKK,7.4399
2023-01-24,GBP,0.88368
2023-01-24,HKD,8.5014
2023-01-24,HUF,397.33
2023-01-24,IDR,16259.0
2023-01-24,ILS,3.6671
2023-01-24,INR,88.62
2023-01-24,ISK,156.1
2023-01-24,JPY,141.47
2023-01-24,KRW,1341.6
2023-01-24,MXN,20.46
2023-01-24,MYR,4.6448
2023-01-24,NOK,10.7193
2023-01-24,NZD,1.6743
2023-01-24,PHP,59.122
2023-01-24,PLN,4.713
2023-01-24,RON,4.9171
2023-01-24,SEK,11.0995
2023-01-24,SGD,1.4337
2023-01-24,THB,35.609
2023-01-24,TRY,20.423
2023-01-24,USD,1.0858
2023-01-24,ZAR,18.7687
2023-01-25,AUD,1.536
2023-01-25,BGN,1.9558
2023-01-25,BRL,5.569
2023-01-25,CAD,1.4544
2023-01-25,CHF,1.002
2023-01-25,CNY,7.3778
2023-01-25,CZK,23.808
2023-01-25,DKK,7.4381
2023-01-25,GBP,0.88248
2023-01-25,HKD,8.5202
2023-01-25,HUF,388.75
2023-01-25,IDR,16279.0
2023-01-25,ILS,3.6651
2023-01-25,INR,88.73
2023-01-25,ISK,157.1
2023-01-25,JPY,141.17
2023-01-25,KRW,1343.93
2023-01-25,MXN,20.436
2023-01-25,MYR,4.6357
2023-01-25,NOK,10.7896
2023-01-25,NZD,1.6792
2023-01-25,PHP,59.35
2023-01-25,PLN,4.7158
2023-01-25,RON,4.9035
2023-01-25,SEK,11.1335
2023-01-25,SGD,1.4307
2023-01-25,THB,35.718
2023-01-25,TRY,20.466
2023-01-25,USD,1.0878
2023-01-25,ZAR,18.6745
2023-01-26,AUD,1.5308
2023-01-26,BGN,1.9558
2023-01-26,BRL,5.5572
2023-01-26,CAD,1.4568
2023-01-26,CHF,1.0002
2023-01-26,CNY,7.3893
2023-01-26,CZK,23.818
2023-01-26,DKK,7.4383
2023-01-26,GBP,0.87945
2023-01-26,HKD,8.5295
2023-01-26,HUF,387.38
2023-01-26,IDR,16299.0
2023-01-26,ILS,3.7091
2023-01-26,INR,88.83
2023-01-26,ISK,156.5
2023-01-26,JPY,141.38
2023-01-26,KRW,1342.51
2023-01-26,MXN,20.528
2023-01-26,MYR,4.6255
2023-01-26,NOK,10.762
2023-01-26,NZD,1.6799
2023-01-26,PHP,59.301
2023-01-26,PLN,4.7195
2023-01-26,RON,4.8818
2023-01-26,SEK,11.1763
2023-01-26,SGD,1.4292
2023-01-26,THB,35.687
2023-01-26,TRY,20.496
2023-01-26,USD,1.0895
2023-01-26,ZAR,18.6127
2023-01-27,AUD,1.5289
2023-01-27,BGN,1.9558
2023-01-27,BRL,5.5104
2023-01-27,CAD,1.4479
2023-01-27,CHF,1.0017
2023-01-27,CNY,7.369
2023-01-27,CZK,23.826
2023-01-27,DKK,7.4378
2023-01-27,GBP,0.87885
2023-01-27,HKD,8.5061
2023-01-27,HUF,388.85
2023-01-27,IDR,16281.0
2023-01-27,ILS,3.7353
2023-01-27,INR,88.67
2023-01-27,ISK,154.9
2023-01-27,JPY,141.1
2023-01-27,KRW,1341.37
2023-01-27,MXN,20.368
2023-01-27,MYR,4.6116
2023-01-27,NOK,10.76
2023-01-27,NZD,1.6759
2023-01-27,PHP,59.187
2023-01-27,PLN,4.7085
2023-01-27,RON,4.8965
2023-01-27,SEK,11.2108
2023-01-27,SGD,1.4277
2023-01-27,THB,35.702
2023-01-27,TRY,20.436
2023-01-27,USD,1.0865
2023-01-27,ZAR,18.7185
2023-01-30,AUD,1.539
2023-01-30,BGN,1.9558
2023-01-30,BRL,5.5654
2023-01-30,CAD,1.4532
2023-01-30,CHF,1.0045
2023-01-30,CNY,7.3601
2023-01-30,CZK,23.861
2023-01-30,DKK,7.4383
2023-01-30,GBP,0.87978
2023-01-30,HKD,8.5415
2023-01-30,HUF,390.53
2023-01-30,IDR,16335.0
2023-01-30,ILS,3.7786
2023-01-30,INR,88.89
2023-01-30,ISK,153.3
2023-01-30,JPY,141.79
2023-01-30,KRW,1338.87
2023-01-30,MXN,20.487
2023-01-30,MYR,4.6272
2023-01-30,NOK,10.7925
2023-01-30,NZD,1.6778
2023-01-30,PHP,59.47
2023-01-30,PLN,4.7103
2023-01-30,RON,4.9055
2023-01-30,SEK,11.262
2023-01-30,SGD,1.431
2023-01-30,THB,35.68
2023-01-30,TRY,20.506
2023-01-30,USD,1.0903
2023-01-30,ZAR,18.889
2023-01-31,AUD,1.5476
2023-01-31,BGN,1.9558
2023-01-31,BRL,5.5373
2023-01-31,CAD,1.457
2023-01-31,CHF,1.0032
2023-01-31,CNY,7.3198
2023-01-31,CZK,23.792
2023-01-31,DKK,7.4388
2023-01-31,GBP,0.88073
2023-01-31,HKD,8.4898
2023-01-31,HUF,390.91
2023-01-31,IDR,16283.0
2023-01-31,ILS,3.7675
2023-01-31,INR,88.64
2023-01-31,ISK,153.1
2023-01-31,JPY,141.27
2023-01-31,KRW,1338.9
2023-01-31,MXN,20.396
